gene	3hr	24hr	
TOP2A	12.8254	12.6915	
GADD45B	6.24395	7.45435	
NCK2	7.9801	7.79205	
AURKA	9.0671	9.1073	
KIAA0355	5.7501	5.96625	
B3GNT1	6.6288	6.30495	
DYNLT3	6.00435	5.631	
CDK5R1	5.76065	5.54065	
CHMP4A	6.4317	4.5401	
IPO13	7.16585	7.7792	
SCP2	6.96425	7.0952	
ITFG1	8.65195	8.8992	
RAD9A	6.2324	7.43685	
DRAP1	8.72845	8.6325	
SPP1	3.97775	6.1044	
HYOU1	9.6201	10.5409	
PCMT1	10.2052	10.0476	
FOS	6.7096	6.8731	
FYN	5.9147	6.2744	
MCOLN1	5.04305	5.271	
MYC	9.58005	9.7413	
ID2	7.08975	5.98425	
POLB	7.3377	7.54985	
CETN3	7.25745	6.9441	
KCNK1	9.887	9.6654	
AXIN1	6.86175	7.4007	
SMC4	11.5378	12.2495	
RAI14	9.54015	10.8424	
SMARCD2	9.2103	9.8617	
DNAJC15	8.48255	9.7115	
MPZL1	9.8476	9.7329	
HOXA10	4.707	4.50695	
NRAS	10.6713	10.8486	
CASP2	6.4836	6.67325	
EBNA1BP2	11.2934	11.4101	
CTNND1	8.40495	7.25505	
TATDN2	6.5682	6.73185	
LRPAP1	9.60985	9.57785	
ZNF131	9.7202	9.94375	
BNIP3L	7.59685	6.90955	
HOOK2	6.95185	7.4705	
ERBB2	8.40505	11.3129	
TBPL1	8.03295	7.0678	
INTS3	7.74685	8.7066	
RAE1	10.0759	9.52025	
CDK1	11.2687	11.3584	
RFNG	8.84235	10.0851	
MICALL1	7.23295	7.15775	
SLC35A1	7.28845	8.09785	
KLHL21	5.17885	5.3399	
NIPSNAP1	8.22145	8.51145	
BCL7B	6.88245	5.9622	
TLE1	9.0984	9.41465	
FZD7	8.639	9.36015	
TIMELESS	10.0117	10.5751	
COG2	6.78975	5.5215	
DHX29	7.0419	6.561	
MMP2	8.26155	8.6749	
MRPS2	10.9581	11.5381	
KCTD5	7.2341	8.127	
TCEA2	10.0355	10.4755	
CNPY3	7.7196	7.62205	
FHL2	13.3207	13.4703	
ADAM10	10.42	11.4385	
FKBP4	12.433	14.5876	
CD58	10.6392	10.9361	
KAT6A	7.1334	6.73085	
CDK7	9.3152	8.87955	
KIF5C	5.73125	5.21775	
HMG20B	11.4712	11.451	
MAP3K4	5.03995	5.5034	
PIN1	10.9902	9.7919	
ZFP36	9.701	10.9194	
INPP1	5.03235	4.2157	
LAGE3	8.304	6.33595	
RAC2	5.89105	6.3129	
TNFRSF21	10.8151	11.2952	
HMOX1	8.75855	7.47405	
KIF14	7.1902	6.80295	
COL4A1	7.7134	6.9829	
DUSP6	6.7758	5.88405	
CYB561	9.38385	9.73415	
EPB41L2	10.3443	10.6108	
GNAI2	6.767	7.57345	
HTRA1	7.5858	7.27945	
TSTA3	9.37565	10.0326	
WASF3	7.14085	7.2438	
DNMT1	11.7326	12.4472	
TSPAN6	7.26515	7.09935	
FBXO21	9.26215	10.0993	
RAB27A	7.50305	7.58715	
DDR1	8.6902	8.7963	
PPP2R3C	7.35535	7.36565	
ADRB2	4.12305	7.30855	
LPGAT1	8.50815	9.0159	
DUSP11	9.9179	10.6312	
GRB10	4.76	5.15115	
MMP1	5.5683	5.54085	
TP53BP2	10.2773	11.4248	
CDKN1A	7.20415	6.0998	
ZW10	8.50675	8.003	
CORO1A	6.83045	6.60495	
TJP1	7.5834	8.4676	
ABCB6	9.36245	8.54655	
XPNPEP1	6.2456	6.0071	
MAMLD1	5.5446	5.79445	
MTHFD2	12.0001	12.2646	
DSG2	7.70975	5.3098	
PRAF2	6.37295	6.7791	
DNTTIP2	10.3095	10.3421	
SLC27A3	8.5405	9.201	
CD97	9.54035	8.9935	
HTATSF1	12.6644	13.5117	
IL13RA1	9.8066	10.4459	
NCAPD2	10.5457	11.0646	
AGL	6.17555	6.50025	
TMEM109	8.4497	8.55995	
CDC25B	10.9617	11.7865	
ICAM1	7.06675	6.6066	
GATA3	5.9805	6.08855	
NUP93	9.14115	8.5492	
PLA2G15	8.34615	7.71455	
