gene	3hr	24hr	
FDFT1	nan	11.673	
CGRRF1	nan	7.9984	
TRAP1	nan	9.22	
AMDHD2	nan	6.9987	
GTF2A2	nan	10.8666	
PEX11A	nan	4.6503	
PSMD9	nan	9.459	
GFOD1	nan	4.878	
MTFR1	nan	10.0926	
PECR	nan	6.3815	
UBE2A	nan	10.2234	
NIT1	nan	10.4654	
SOCS2	nan	5.8825	
SYNGR3	nan	3.7955	
ZDHHC6	nan	8.2835	
ITGAE	nan	9.7265	
NFKB2	nan	4.7402	
STK25	nan	11.5881	
TMEM5	nan	8.3644	
ABCF3	nan	8.6473	
ATP5S	nan	8.6248	
FCHO1	nan	4.6241	
NGRN	nan	6.7693	
HOXA5	nan	11.3346	
OXSR1	nan	9.3518	
GRN	nan	11.5506	
SMARCC1	nan	10.6128	
NUP85	nan	10.967	
PAK6	nan	4.086	
GHR	nan	4.0568	
GTPBP8	nan	9.0362	
GLOD4	nan	9.7249	
PTK2	nan	10.7091	
CDK4	nan	11.8187	
EPN2	nan	7.7485	
CCDC90A	nan	6.2448	
IL4R	nan	7.2394	
KIAA0528	nan	10.4171	
PRKAG2	nan	7.517	
KIT	nan	3.9655	
MRPS16	nan	10.4236	
PTPRC	nan	5.6041	
RPS5	nan	6.6088	
NOL3	nan	7.4967	
PSMG1	nan	10.6898	
NR1H2	nan	6.9619	
TMEM97	nan	9.2878	
LRRC41	nan	10.4362	
PLS1	nan	8.2613	
DUSP22	nan	8.5879	
KIAA1279	nan	8.0914	
RPS6KA1	nan	9.2719	
TCEAL4	nan	10.4779	
DCK	nan	9.9632	
NUP133	nan	9.313	
NUP62	nan	10.3164	
TRIM2	nan	7.9627	
SNCA	nan	9.4672	
SPTAN1	nan	6.9394	
MALT1	nan	8.1646	
VPS28	nan	7.2432	
LRRC16A	nan	5.4012	
YKT6	nan	10.7081	
CHP	nan	5.485	
KIF2C	nan	7.1343	
NNT	nan	8.4297	
NR2F6	nan	7.848	
COL1A1	nan	13.686	
EXOSC4	nan	5.2408	
CDC25A	nan	7.8369	
PDLIM1	nan	9.8409	
CRELD2	nan	8.4064	
TP53	nan	10.3294	
IQGAP1	nan	10.1984	
RRP12	nan	8.7217	
ACAT2	nan	10.7959	
EGR1	nan	6.3149	
MUC1	nan	4.1396	
THAP11	nan	6.5137	
AURKB	nan	11.3028	
CEBPD	nan	6.5492	
HSPA4	nan	11.6559	
MAST2	nan	8.3358	
DHDDS	nan	7.0852	
TOP2A	nan	13.0202	
GADD45B	nan	8.0532	
NCK2	nan	7.1728	
AURKA	nan	8.2904	
KIAA0355	nan	4.9661	
B3GNT1	nan	7.3515	
DYNLT3	nan	7.4818	
CDK5R1	nan	4.9184	
CHMP4A	nan	9.0278	
IPO13	nan	9.0848	
SCP2	nan	7.1728	
ITFG1	nan	7.0051	
