gene	3hr	24hr	
CDC25B	11.9119	12.4686	
ICAM1	5.7675	5.8811	
GATA3	3.5392	4.5342	
NUP93	8.3323	8.0981	
PLA2G15	5.7227	5.9341	
RPA3	7.3488	8.2184	
PIP4K2B	6.8794	7.3413	
TES	12.2204	11.7342	
MYCBP2	6.8158	7.8337	
SPR	8.9574	8.6939	
PGRMC1	11.3366	11.3013	
RELB	6.5816	6.8584	
AARS	9.9006	9.8332	
EPHB2	4.9171	5.1759	
GPC1	8.0069	7.3646	
RPIA	9.3453	9.7068	
ELAC2	11.4086	10.868	
GPR56	8.1428	8.0816	
NVL	10.8849	9.508	
PLSCR1	7.8748	7.9759	
CHEK1	11.1632	9.2488	
CTSL1	11.729	12.3047	
CTSD	10.5846	10.2249	
ME2	10.0274	9.7213	
ARHGEF2	9.1845	9.3755	
PDGFA	7.4117	8.1791	
ILK	9.2484	9.5458	
WDR67	8.9349	8.5736	
NFIL3	6.6201	7.4237	
RFC2	9.0078	9.2827	
ARL4C	8.8453	7.0269	
TIMM9	11.2814	11.9902	
CPNE3	11.9498	12.2553	
ORC1	12.4588	10.144	
C5	5.9156	4.9476	
PARP2	7.9303	8.424	
FASTKD5	9.5424	9.3681	
SCRN1	7.8785	7.7183	
MAN2B1	7.3335	9.6909	
PTPLAD1	10.2694	8.0816	
MSRA	8.291	8.3195	
NFKBIA	9.9421	10.2971	
DCTD	9.6061	10.1145	
SYNE2	7.0102	7.3745	
MBNL1	9.2767	9.4589	
UBE3C	10.7985	11.3497	
CCDC92	7.2485	6.9549	
MYCBP	10.4405	10.8397	
CXCL2	5.7306	6.2695	
PTPN1	10.1443	10.3754	
BRP44	11.6821	11.7085	
TIMM22	8.0509	8.1032	
ATF5	9.6376	8.2204	
ECD	8.84	8.7261	
CIRBP	9.5077	8.5282	
NSDHL	9.0472	8.0933	
ADI1	9.5852	9.4944	
NFKBIE	5.8388	5.1687	
ADCK3	5.0949	4.0922	
PRSS23	5.4186	5.1687	
CCNH	7.5294	6.5458	
GDPD5	6.2206	5.9142	
P4HA2	7.5255	8.6868	
TARBP1	9.1807	9.6197	
ATP6V0B	8.1178	8.018	
RBKS	5.3895	5.2127	
CAPN1	7.6608	7.8295	
KDM3A	8.0972	6.8549	
BID	6.8622	5.7129	
STXBP1	5.2925	6.4016	
ITGB5	8.702	9.772	
MTF2	8.8716	8.234	
HLA-DRA	6.2879	4.5778	
SLC11A2	6.279	6.4693	
PDIA5	5.8817	6.1592	
PIK3C2B	5.1399	3.6721	
RAP1GAP	6.1512	4.9045	
SLC25A46	9.3749	10.0803	
CDK19	5.8521	8.2432	
NOLC1	10.3112	10.4451	
CAT	9.7241	9.8963	
KIAA0753	8.7713	7.1604	
DUSP14	7.0714	7.7568	
KAT6B	7.5923	7.1604	
CHN1	4.9173	6.039	
HMGA2	8.447	8.8315	
IGFBP3	6.036	6.954	
MAPK13	6.488	6.1784	
TRIB1	8.1247	7.2983	
UFM1	9.7472	9.5842	
GNA15	8.406	6.9437	
TP53BP1	7.5152	8.1391	
FRS2	7.5839	6.8221	
IARS2	12.4451	12.869	
BECN1	8.9509	9.5301	
GATA2	5.6087	5.6953	
KDELR2	7.6673	7.7449	
RALGDS	6.8532	7.4204	
ELAVL1	8.3741	8.9375	
NRIP1	9.0472	9.9988	
CCNB2	11.8209	12.0376	
IFNAR1	9.1773	7.468	
MIF	14.2752	14.4928	
RNPS1	14.1291	13.0115	
DAG1	6.1781	6.649	
SATB1	4.0667	4.5864	
ARID4B	8.4877	8.7396	
IGF2BP2	6.8432	7.507	
GSTZ1	8.9018	8.265	
IGF2R	9.6639	10.0613	
SESN1	7.3519	7.4204	
TIPARP	10.613	10.8643	
CRTAP	7.7687	8.0242	
SPEN	8.5307	8.5933	
GMNN	12.1176	12.0593	
PFKL	8.216	8.6318	
CYTH1	6.9881	7.0633	
PDHX	9.0377	9.0809	
DENND2D	4.9763	5.7558	
PRCP	7.4404	7.1174	
CTTN	7.1585	7.3418	
SMARCA4	7.1663	8.2424	
PYGL	10.4782	11.1816	
UBR7	9.835	9.5017	
GRB7	11.0599	8.9858	
RPA2	9.7198	9.7329	
CD44	11.2601	11.6433	
ERBB3	4.5754	4.5378	
GTF2E2	10.0492	9.8823	
VAV3	5.9338	5.9602	
ABHD6	8.5992	6.4202	
ANXA7	8.6761	9.0691	
MAPKAPK2	10.7479	10.645	
TXNRD1	11.6471	11.9158	
CAB39	10.2282	10.3292	
FZD1	6.3853	5.2101	
CRYZ	8.5501	8.7012	
TIAM1	5.8363	6.219	
DNM1L	10.7415	11.1247	
GAA	3.6786	4.0398	
DERA	10.8211	10.8463	
SKIV2L	7.2512	8.0717	
BLMH	7.0207	7.468	
PTPRK	10.7022	9.0002	
HERC6	6.363	6.7011	
RRP1B	9.1216	9.7939	
MKNK1	11.4882	9.6813	
TSPAN3	8.9891	9.5889	
ACOT9	10.1693	10.8451	
PIK3R3	5.4694	5.3391	
KEAP1	10.1791	10.2181	
ST3GAL5	5.2689	5.026	
CTNNAL1	10.3588	10.3138	
TFDP1	11.2185	11.518	
ABHD4	5.5099	5.269	
SMC3	8.5442	8.4023	
INPP4B	7.608	7.681	
LBR	10.388	10.5936	
PPIE	9.2037	9.8332	
ZMIZ1	8.4861	8.1625	
PPARG	5.9351	5.9602	
TERF2IP	10.0569	10.3111	
BNIP3	8.2619	9.0561	
RPP38	8.0237	8.477	
BCL2	4.1128	4.7073	
CAST	10.2075	10.5655	
BAG3	11.793	12.1065	
RBM6	8.0631	8.2906	
CSK	8.3675	8.6537	
GNA11	8.3893	10.0712	
ALDOC	4.7325	4.3961	
TOR1A	8.2912	7.6766	
SLC25A13	9.8991	9.2588	
UBE2L6	7.941	8.1092	
SYK	6.578	5.7849	
TSPAN4	11.528	11.7507	
NR3C1	6.1376	6.6834	
PCBD1	11.1439	11.5347	
ICMT	9.1379	9.9748	
TRIB3	10.6547	10.7252	
EIF4EBP1	9.7959	9.9606	
PHF15	8.359	9.065	
CXCR4	7.2256	5.9528	
GNPDA1	9.6597	9.5256	
CCND3	9.6726	9.9591	
FKBP14	6.5816	6.6817	
CIAPIN1	10.2091	9.8576	
NUCB2	8.139	8.0473	
COG7	8.7711	9.2057	
RSU1	8.9076	8.6537	
PTPN6	6.1475	6.7955	
TUBB6	12.5101	12.9019	
ABL1	8.6396	8.7818	
DUSP4	9.3034	9.6375	
CCNF	8.5834	8.4071	
PTPN12	9.5398	9.8353	
HSPA1A	10.7724	12.1699	
PCK2	8.7828	7.9875	
FAM57A	10.2402	9.3978	
RB1	9.4116	9.7499	
EVL	7.6356	6.7076	
GFPT1	7.17	7.6981	
BLVRA	9.5587	10.5358	
GPER	6.2144	6.682	
EAPP	7.5717	6.4322	
S100A13	12.7569	13.0636	
EXT1	10.8134	11.3871	
MYBL2	10.0366	9.1521	
POLE2	7.8671	8.8804	
STX4	9.311	8.9597	
PLCB3	9.4174	9.7115	
TMCO1	12.0058	12.1667	
C2CD2	6.4017	6.8052	
PARP1	11.6332	11.802	
ANKRD10	7.1271	8.262	
CCDC85B	7.7433	7.4704	
DDB2	8.0965	7.3413	
DDX10	9.2585	8.7269	
BAMBI	6.6887	7.7877	
CEP57	8.5362	6.9399	
HADH	9.8505	9.4354	
RAB31	6.9654	6.1479	
ABCC5	5.2977	5.1227	
