gene	3hr	24hr	
PARP1	11.1635	9.9134	
ANKRD10	8.1337	7.4376	
CCDC85B	9.8772	9.9873	
DDB2	7.4828	7.3077	
DDX10	10.1259	10.0915	
BAMBI	8.1457	8.0246	
CEP57	7.9599	7.3838	
HADH	9.5377	9.6513	
RAB31	8.8562	8.9803	
ABCC5	5.0828	4.9363	
GLRX	9.8528	10.6177	
MVP	10.2904	11.2713	
RFC5	9.7038	8.7507	
HES1	8.0731	6.9536	
STMN1	11.3536	10.4753	
GALE	10.1304	10.2259	
KLHL9	6.4846	4.8537	
PTPRF	8.7518	8.3694	
UBE2J1	7.7774	8.3774	
PGM1	10.3221	10.6666	
SLC37A4	8.2414	7.4913	
LOXL1	7.3119	6.5618	
PLK1	9.9209	10.0444	
MYO10	9.4485	9.4161	
NPRL2	7.5418	8.0055	
LIPA	9.4719	10.4542	
PWP1	10.048	9.841	
PHGDH	4.7712	5.4217	
PLEKHM1	9.2794	9.3619	
ST7	6.7955	6.8197	
VAT1	9.6783	10.4702	
IKBKB	5.6601	6.4976	
KIF20A	10.5853	10.5582	
CDH3	4.2066	4.6649	
PCM1	6.2714	7.1038	
IER3	12.033	12.3315	
SSBP2	5.1687	5.6535	
FAT1	9.9158	10.2676	
SNX11	6.0437	6.2711	
RNMT	8.1801	8.3023	
SFN	8.2634	9.3292	
EGFR	7.7727	7.32	
RFX5	7.3177	8.1902	
NET1	9.7908	10.2959	
PKIG	9.6562	9.2245	
DECR1	8.9742	9.6672	
FSD1	6.7305	6.109	
ATP6V1D	10.5588	10.6901	
CDK6	6.3017	5.3096	
CDC45	9.6101	9.2827	
NPC1	8.5899	8.6279	
EDEM1	9.8096	11.2094	
MEST	11.7819	10.7133	
MYLK	5.1687	5.7547	
PAFAH1B3	10.5003	10.5191	
CALU	11.5967	11.5693	
USP6NL	7.4074	7.545	
LGALS8	8.1997	8.7591	
